Grade;Area;Topic;Code;Description
 9-12;Proficient Solo and Ensemble Standards ;Select, analyze and interpret artistic work for presentation;P.M.P.04;Explain the relationship between dance and commercialization or propaganda (e.g., arguing whether or not a commercial depiction of hip-hop dance is authentic).
 9-12;Proficient Solo and Ensemble Standards ;Develop and refine artistic techniques and work for presentation;P.M.P.05;Generate original ideas that integrate aesthetic principles with personal style. 
 9-12;Proficient Solo and Ensemble Standards ;Convey meaning through the presentation of artistic work;P.M.P.06;Document strategies they use regularly to organize their artistic ideas (e.g., keeping a journal). 
 9-12;Proficient Solo and Ensemble Standards ;Perceive and analyze artistic work;P.M.R.07;Identify movement challenges and the advantages and disadvantages of different solutions.
 9-12;Proficient Solo and Ensemble Standards ;Interpret intent and meaning in artistic work;P.M.R.08;Perform with technical accuracy a piece that exhibits strength, balance, endurance, and coordination. 
 9-12;Proficient Solo and Ensemble Standards ;Apply criteria to evaluate artistic work;P.M.R.09;Organize and lead the production of a movement work (e.g., running rehearsals for a small group performance). 
 9-12;Proficient Solo and Ensemble Standards ;Synthesize and relate knowledge and personal experiences to make art;P.M.Co.10;Perform a dance work that causes audience reflection by performing technical skills with artistic expression, clarity, musicality, and stylistic nuance.
 9-12;Proficient Solo and Ensemble Standards ;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;P.M.Co.11;Identify ways a contemporary movement work pushes boundaries of the genre and discipline.
 9-12;Advanced Solo and Ensemble Standards ;Generate and conceptualize artistic ideas and work;ASE.M.Cr.01;Analyze the ways their own cultural and personal perspectives and bias impact how they understand a dance work. 
 9-12;Advanced Solo and Ensemble Standards ;Organize and develop artistic ideas and work;ASE.M.Cr.02;Identify how bias, culture, and privilege can impact the criteria we use to evaluate dance work. 
 9-12;Advanced Solo and Ensemble Standards ;Refine and complete artistic work;ASE.M.Cr.03; Explain the development of their aesthetic vision as a dancer and how it is represented in a movement piece. 
 9-12;Advanced Solo and Ensemble Standards ;Select, analyze and interpret artistic work for presentation;ASE.M.P.04;Identify the historical and cultural context that caused the shifting of stylistic elements between dance styles. 
 9-12;Advanced Solo and Ensemble Standards ;Develop and refine artistic techniques and work for presentation;ASE.M.P.05;Create media arts ideas that are characteristic of different media genres. 
 9-12;Advanced Solo and Ensemble Standards ;Convey meaning through the presentation of artistic work;ASE.M.P.06;Create multiple different plans for a work prior to selecting one to implement. 
 9-12;Advanced Solo and Ensemble Standards ;Perceive and analyze artistic work;ASE.M.07;Refine concepts and content by focusing on a specific element such as interactivity, temporality, or heterogeneity. 
 9-12;Advanced Solo and Ensemble Standards ;Interpret intent and meaning in artistic work;ASE.M.08;Justify choices for curating and presenting artwork for a specific exhibit or event (e.g., students complete a proposal for a juried show within the community.)
