Grade;Area;Topic;Code;Description
09-dic;Computing Systems;Computing Devices;9-12.CS.a.5;Describe how computing devices manage and allocate shared resources (e.g., memory, Central Processing Unit [CPU]).
09-dic;Computing Systems;Computing Devices;9-12.CS.a.6;Examine the historical rate of change in computing devices (e.g., power/energy, computation capacity, speed, size, ease of use) and discuss the implications for the future.
09-dic;Computing Systems;Human and Computer Partnerships;9-12.CS.b.1;Identify a problem that cannot be solved by humans or machines alone and design a solution for it by decomposing the task into sub-problems suited for a human or machine to accomplish (e.g., a human-computer team playing chess, forecasting weather, piloting airplanes).
09-dic;Computing Systems;Networks;9-12.CS.c.1;Explain how network topologies and protocols enable users, devices, and systems to communicate with each other.
09-dic;Computing Systems;Networks;9-12.CS.c.2;Examine common network vulnerabilities (e.g., cyberattacks, identity theft, privacy) and their associated responses.
09-dic;Computing Systems;Networks;9-12.CS.c.3;Examine the issues (e.g., latency, bandwidth, firewalls, server capability) that impact network functionality.
09-dic;Computing Systems;Services;9-12.CS.d.1;Compare the value of using an existing service versus building the equivalent functionality (e.g., using a reference search engine versus creating a database of references for a project).
09-dic;Computing Systems;Services;9-12.CS.d.2;Explain the concept of quality of service (e.g., security, availability, performance) for services providers (e.g., online storefronts that must supply secure transactions for buyer and seller).
09-dic;Computational Thinking;Abstraction;9-12.CT.a.1;Discuss and give an example of the value of generalizing and decomposing aspects of a problem in order to solve it more effectively.
09-dic;Computational Thinking;Algorithms;9-12.CT.b.1;Recognize that the design of an algorithm is distinct from its expression in a programming language.
09-dic;Computational Thinking;Algorithms;9-12.CT.b.2;Represent algorithms using structured language, such as pseudocode.
09-dic;Computational Thinking;Algorithms;9-12.CT.b.3;Explain how a recursive solution to a problem repeatedly applies the same solution to smaller instances of the problem.
09-dic;Computational Thinking;Algorithms;9-12.CT.b.4;Describe that there are ways to characterize how well algorithms perform and that two algorithms can perform differently for the same task.
09-dic;Computational Thinking;Algorithms;9-12.CT.b.5;Explain that there are some problems which cannot be computationally solved.
09-dic;Computational Thinking;Data;9-12.CT.c.1;Describe how data types, structures, and compression in programs affect data storage and quality (e.g., digital image file sizes are affected by resolution and color depth).
09-dic;Computational Thinking;Data;9-12.CT.c.2;Create an appropriate multidimensional data structure that can be filtered, sorted, and searched (e.g., array, list, record).
09-dic;Computational Thinking;Data;9-12.CT.c.3;Create, evaluate, and revise data visualization for communication and knowledge.
09-dic;Computational Thinking;Data;9-12.CT.c.4;Analyze a complex data set to answer a question or test a hypothesis (e.g., analyze a large set of weather or financial data to predict future patterns).
09-dic;Computational Thinking;Data;9-12.CT.c.5;Identify different problems (e.g., large or multipart problems, problems that need specific expertise, problems that affect many constituents) that can benefit from collaboration when processing and analyzing data to develop new insights and knowledge.
09-dic;Computational Thinking;Programming and Development;9-12.CT.d.1;Use a development process in creating a computational artifact that leads to a minimum viable product and includes reflection, analysis, and iteration (e.g., a data-set analysis program for a science and engineering fair, capstone project that includes a program, term research project based on program data).
09-dic;Computational Thinking;Programming and Development;9-12.CT.d.2;Decompose a problem by defining functions which accept parameters and produce return values.
09-dic;Computational Thinking;Programming and Development;9-12.CT.d.3;Select the appropriate data structure to represent information for a given problem (e.g., records, arrays, lists).
09-dic;Computational Thinking;Programming and Development;9-12.CT.d.4;Analyze trade-offs among multiple approaches to solve a given problem (e.g., space/time performance, maintainability, correctness, elegance).
09-dic;Computational Thinking;Programming and Development;9-12.CT.d.5;Use appropriate looping structures in programs (e.g., FOR, WHILE, RECURSION).
09-dic;Computational Thinking;Programming and Development;9-12.CT.d.6;Use appropriate conditional structures in programs (e.g., IF-THEN, IF-THEN-ELSE, SWITCH).
09-dic;Computational Thinking;Programming and Development;9-12.CT.d.7;Use a programming language or tool feature correctly to enforce operator precedence.
09-dic;Computational Thinking;Programming and Development;9-12.CT.d.8;Use global and local scope appropriately in program design (e.g., for variables).
09-dic;Computational Thinking;Programming and Development;9-12.CT.d.9;Select and employ an appropriate component or library to facilitate programming solutions (e.g., turtle, Global Positioning System [GPS], statistics library).
09-dic;Computational Thinking;Programming and Development;9-12.CT.d.10;Use an iterative design process, including learning from making mistakes, to gain a better understanding of the problem domain.
09-dic;Computational Thinking;Programming and Development;9-12.CT.d.11;Engage in systematic testing and debugging methods to ensure program correctness.
09-dic;Computational Thinking;Programming and Development;9-12.CT.d.12;Demonstrate how to document a program so that others can understand its design and implementation.
09-dic;Computational Thinking;Modeling and Simulation;9-12.CT.e.1;Create models and simulations to help formulate, test, and refine hypotheses.
09-dic;Computational Thinking;Modeling and Simulation;9-12.CT.e.2;Form a model from a hypothesis generated from research and run a simulation to collect and analyze data to test that hypothesis.
